date,frame,count,total_videos_in_date,prevalence
2019-01-01,Nature and travel,52,99,0.525253
2019-01-01,Geopolitical frame,9,99,0.090909
2019-01-01,Educational and facts,5,99,0.050505
2019-01-01,Indigenous culture,12,99,0.121212
2019-01-01,Climate change,21,99,0.212121
2019-02-01,Nature and travel,49,75,0.653333
2019-02-01,Geopolitical frame,8,75,0.106667
2019-02-01,Educational and facts,7,75,0.093333
2019-02-01,Indigenous culture,5,75,0.066667
2019-02-01,Climate change,6,75,0.080000
2019-03-01,Nature and travel,37,85,0.435294
2019-03-01,Geopolitical frame,8,85,0.094118
2019-03-01,Educational and facts,4,85,0.047059
2019-03-01,Indigenous culture,7,85,0.082353
2019-03-01,Climate change,29,85,0.341176
2019-04-01,Nature and travel,43,71,0.605634
2019-04-01,Geopolitical frame,2,71,0.028169
2019-04-01,Educational and facts,11,71,0.154930
2019-04-01,Indigenous culture,7,71,0.098592
2019-04-01,Climate change,8,71,0.112676
2019-05-01,Nature and travel,39,71,0.549296
2019-05-01,Geopolitical frame,4,71,0.056338
2019-05-01,Educational and facts,14,71,0.197183
2019-05-01,Indigenous culture,10,71,0.140845
2019-05-01,Climate change,4,71,0.056338
2019-06-01,Nature and travel,54,143,0.377622
2019-06-01,Geopolitical frame,20,143,0.139860
2019-06-01,Educational and facts,22,143,0.153846
2019-06-01,Indigenous culture,14,143,0.097902
2019-06-01,Climate change,33,143,0.230769
2019-07-01,Nature and travel,60,97,0.618557
2019-07-01,Geopolitical frame,7,97,0.072165
2019-07-01,Educational and facts,13,97,0.134021
2019-07-01,Indigenous culture,7,97,0.072165
2019-07-01,Climate change,10,97,0.103093
2019-08-01,Nature and travel,68,372,0.182796
2019-08-01,Geopolitical frame,225,372,0.604839
2019-08-01,Educational and facts,10,372,0.026882
2019-08-01,Indigenous culture,2,372,0.005376
2019-08-01,Climate change,67,372,0.180108
2019-09-01,Nature and travel,53,111,0.477477
2019-09-01,Geopolitical frame,18,111,0.162162
2019-09-01,Educational and facts,14,111,0.126126
2019-09-01,Indigenous culture,9,111,0.081081
2019-09-01,Climate change,17,111,0.153153
2019-10-01,Nature and travel,63,132,0.477273
2019-10-01,Geopolitical frame,14,132,0.106061
2019-10-01,Educational and facts,23,132,0.174242
2019-10-01,Indigenous culture,24,132,0.181818
2019-10-01,Climate change,8,132,0.060606
2019-11-01,Nature and travel,60,96,0.625000
2019-11-01,Geopolitical frame,11,96,0.114583
2019-11-01,Educational and facts,11,96,0.114583
2019-11-01,Indigenous culture,12,96,0.125000
2019-11-01,Climate change,2,96,0.020833
2019-12-01,Nature and travel,62,109,0.568807
2019-12-01,Geopolitical frame,5,109,0.045872
2019-12-01,Educational and facts,14,109,0.128440
2019-12-01,Indigenous culture,6,109,0.055046
2019-12-01,Climate change,22,109,0.201835
2020-01-01,Nature and travel,62,114,0.543860
2020-01-01,Geopolitical frame,13,114,0.114035
2020-01-01,Educational and facts,16,114,0.140351
2020-01-01,Indigenous culture,12,114,0.105263
2020-01-01,Climate change,11,114,0.096491
2020-02-01,Nature and travel,67,121,0.553719
2020-02-01,Geopolitical frame,12,121,0.099174
2020-02-01,Educational and facts,24,121,0.198347
2020-02-01,Indigenous culture,11,121,0.090909
2020-02-01,Climate change,7,121,0.057851
2020-03-01,Nature and travel,64,128,0.500000
2020-03-01,Geopolitical frame,6,128,0.046875
2020-03-01,Educational and facts,29,128,0.226562
2020-03-01,Indigenous culture,11,128,0.085938
2020-03-01,Climate change,18,128,0.140625
2020-04-01,Nature and travel,84,156,0.538462
2020-04-01,Geopolitical frame,18,156,0.115385
2020-04-01,Educational and facts,34,156,0.217949
2020-04-01,Indigenous culture,11,156,0.070513
2020-04-01,Climate change,9,156,0.057692
2020-05-01,Nature and travel,79,132,0.598485
2020-05-01,Geopolitical frame,16,132,0.121212
2020-05-01,Educational and facts,18,132,0.136364
2020-05-01,Indigenous culture,10,132,0.075758
2020-05-01,Climate change,9,132,0.068182
2020-06-01,Nature and travel,29,75,0.386667
2020-06-01,Geopolitical frame,10,75,0.133333
2020-06-01,Educational and facts,21,75,0.280000
2020-06-01,Indigenous culture,11,75,0.146667
2020-06-01,Climate change,4,75,0.053333
2020-07-01,Nature and travel,47,98,0.479592
2020-07-01,Geopolitical frame,13,98,0.132653
2020-07-01,Educational and facts,24,98,0.244898
2020-07-01,Indigenous culture,9,98,0.091837
2020-07-01,Climate change,5,98,0.051020
2020-08-01,Nature and travel,53,121,0.438017
2020-08-01,Geopolitical frame,15,121,0.123967
2020-08-01,Educational and facts,8,121,0.066116
2020-08-01,Indigenous culture,5,121,0.041322
2020-08-01,Climate change,40,121,0.330579
2020-09-01,Nature and travel,41,87,0.471264
2020-09-01,Geopolitical frame,6,87,0.068966
2020-09-01,Educational and facts,17,87,0.195402
2020-09-01,Indigenous culture,13,87,0.149425
2020-09-01,Climate change,10,87,0.114943
2020-10-01,Nature and travel,59,102,0.578431
2020-10-01,Geopolitical frame,9,102,0.088235
