date,topic,count,total_videos_in_date,prevalence
2019-01-01,topic1,3,135,0.022222
2019-01-01,topic0,29,135,0.214815
2019-01-01,topic4,3,135,0.022222
2019-01-01,topic2,31,135,0.229630
2019-01-01,topic3,17,135,0.125926
2019-01-01,topic7,2,135,0.014815
2019-01-01,topic6,3,135,0.022222
2019-01-01,topic5,14,135,0.103704
2019-02-01,topic1,1,111,0.009009
2019-02-01,topic0,19,111,0.171171
2019-02-01,topic4,4,111,0.036036
2019-02-01,topic2,17,111,0.153153
2019-02-01,topic3,20,111,0.180180
2019-02-01,topic7,1,111,0.009009
2019-02-01,topic6,8,111,0.072072
2019-02-01,topic5,9,111,0.081081
2019-03-01,topic1,11,119,0.092437
2019-03-01,topic0,24,119,0.201681
2019-03-01,topic4,8,119,0.067227
2019-03-01,topic2,38,119,0.319328
2019-03-01,topic3,12,119,0.100840
2019-03-01,topic7,1,119,0.008403
2019-03-01,topic6,4,119,0.033613
2019-03-01,topic5,4,119,0.033613
2019-04-01,topic1,5,100,0.050000
2019-04-01,topic0,28,100,0.280000
2019-04-01,topic4,5,100,0.050000
2019-04-01,topic2,14,100,0.140000
2019-04-01,topic3,18,100,0.180000
2019-04-01,topic7,1,100,0.010000
2019-04-01,topic6,4,100,0.040000
2019-04-01,topic5,7,100,0.070000
2019-05-01,topic1,4,102,0.039216
2019-05-01,topic0,26,102,0.254902
2019-05-01,topic4,1,102,0.009804
2019-05-01,topic2,18,102,0.176471
2019-05-01,topic3,16,102,0.156863
2019-05-01,topic7,0,102,0.000000
2019-05-01,topic6,9,102,0.088235
2019-05-01,topic5,11,102,0.107843
2019-06-01,topic1,13,183,0.071038
2019-06-01,topic0,49,183,0.267760
2019-06-01,topic4,12,183,0.065574
2019-06-01,topic2,41,183,0.224044
2019-06-01,topic3,18,183,0.098361
2019-06-01,topic7,5,183,0.027322
2019-06-01,topic6,11,183,0.060109
2019-06-01,topic5,9,183,0.049180
2019-07-01,topic1,3,137,0.021898
2019-07-01,topic0,16,137,0.116788
2019-07-01,topic4,7,137,0.051095
2019-07-01,topic2,23,137,0.167883
2019-07-01,topic3,15,137,0.109489
2019-07-01,topic7,1,137,0.007299
2019-07-01,topic6,4,137,0.029197
2019-07-01,topic5,36,137,0.262774
2019-08-01,topic1,137,416,0.329327
2019-08-01,topic0,21,416,0.050481
2019-08-01,topic4,15,416,0.036058
2019-08-01,topic2,86,416,0.206731
2019-08-01,topic3,34,416,0.081731
2019-08-01,topic7,72,416,0.173077
2019-08-01,topic6,14,416,0.033654
2019-08-01,topic5,13,416,0.031250
2019-09-01,topic1,13,145,0.089655
2019-09-01,topic0,21,145,0.144828
2019-09-01,topic4,9,145,0.062069
2019-09-01,topic2,28,145,0.193103
2019-09-01,topic3,25,145,0.172414
2019-09-01,topic7,3,145,0.020690
2019-09-01,topic6,6,145,0.041379
2019-09-01,topic5,17,145,0.117241
2019-10-01,topic1,9,162,0.055556
2019-10-01,topic0,39,162,0.240741
2019-10-01,topic4,15,162,0.092593
2019-10-01,topic2,15,162,0.092593
2019-10-01,topic3,25,162,0.154321
2019-10-01,topic7,4,162,0.024691
2019-10-01,topic6,9,162,0.055556
2019-10-01,topic5,12,162,0.074074
2019-11-01,topic1,10,132,0.075758
2019-11-01,topic0,31,132,0.234848
2019-11-01,topic4,11,132,0.083333
2019-11-01,topic2,13,132,0.098485
2019-11-01,topic3,21,132,0.159091
2019-11-01,topic7,1,132,0.007576
2019-11-01,topic6,5,132,0.037879
2019-11-01,topic5,8,132,0.060606
2019-12-01,topic1,6,149,0.040268
2019-12-01,topic0,27,149,0.181208
2019-12-01,topic4,7,149,0.046980
2019-12-01,topic2,34,149,0.228188
2019-12-01,topic3,24,149,0.161074
2019-12-01,topic7,2,149,0.013423
2019-12-01,topic6,7,149,0.046980
2019-12-01,topic5,17,149,0.114094
2020-01-01,topic1,3,143,0.020979
2020-01-01,topic0,30,143,0.209790
2020-01-01,topic4,11,143,0.076923
2020-01-01,topic2,23,143,0.160839
2020-01-01,topic3,25,143,0.174825
2020-01-01,topic7,1,143,0.006993
2020-01-01,topic6,5,143,0.034965
2020-01-01,topic5,18,143,0.125874
2020-02-01,topic1,13,156,0.083333
2020-02-01,topic0,37,156,0.237179
2020-02-01,topic4,8,156,0.051282
2020-02-01,topic2,13,156,0.083333
2020-02-01,topic3,16,156,0.102564
2020-02-01,topic7,2,156,0.012821
2020-02-01,topic6,9,156,0.057692
2020-02-01,topic5,17,156,0.108974
2020-03-01,topic1,13,169,0.076923
2020-03-01,topic0,34,169,0.201183
2020-03-01,topic4,5,169,0.029586
2020-03-01,topic2,29,169,0.171598
2020-03-01,topic3,22,169,0.130178
2020-03-01,topic7,0,169,0.000000
2020-03-01,topic6,17,169,0.100592
2020-03-01,topic5,21,169,0.124260
2020-04-01,topic1,11,201,0.054726
2020-04-01,topic0,49,201,0.243781
2020-04-01,topic4,15,201,0.074627
2020-04-01,topic2,16,201,0.079602
2020-04-01,topic3,32,201,0.159204
2020-04-01,topic7,5,201,0.024876
2020-04-01,topic6,19,201,0.094527
2020-04-01,topic5,18,201,0.089552
2020-05-01,topic1,3,162,0.018519
2020-05-01,topic0,42,162,0.259259
2020-05-01,topic4,19,162,0.117284
2020-05-01,topic2,15,162,0.092593
2020-05-01,topic3,27,162,0.166667
2020-05-01,topic7,2,162,0.012346
2020-05-01,topic6,11,162,0.067901
2020-05-01,topic5,9,162,0.055556
2020-06-01,topic1,1,105,0.009524
2020-06-01,topic0,35,105,0.333333
2020-06-01,topic4,11,105,0.104762
2020-06-01,topic2,10,105,0.095238
2020-06-01,topic3,12,105,0.114286
2020-06-01,topic7,2,105,0.019048
2020-06-01,topic6,14,105,0.133333
2020-06-01,topic5,7,105,0.066667
2020-07-01,topic1,5,128,0.039062
2020-07-01,topic0,39,128,0.304688
2020-07-01,topic4,9,128,0.070312
2020-07-01,topic2,11,128,0.085938
2020-07-01,topic3,18,128,0.140625
2020-07-01,topic7,0,128,0.000000
2020-07-01,topic6,10,128,0.078125
2020-07-01,topic5,14,128,0.109375
2020-08-01,topic1,12,157,0.076433
2020-08-01,topic0,24,157,0.152866
2020-08-01,topic4,17,157,0.108280
