date,frame,count,total_videos_in_date,prevalence
2019-01-01,"Entertainment, memes & low-context content",41,128,0.320312
2019-01-01,"Nature, landscape & tourism",32,128,0.250000
2019-01-01,Geopolitics & strategic competition,22,128,0.171875
2019-01-01,"Society, culture & everyday life",16,128,0.125000
2019-01-01,"Knowledge, facts & educational content",14,128,0.109375
2019-01-01,Climate change & environmental risk,3,128,0.023438
2019-02-01,"Entertainment, memes & low-context content",42,106,0.396226
2019-02-01,"Nature, landscape & tourism",27,106,0.254717
2019-02-01,Geopolitics & strategic competition,19,106,0.179245
2019-02-01,"Society, culture & everyday life",4,106,0.037736
2019-02-01,"Knowledge, facts & educational content",9,106,0.084906
2019-02-01,Climate change & environmental risk,5,106,0.047170
2019-03-01,"Entertainment, memes & low-context content",26,115,0.226087
2019-03-01,"Nature, landscape & tourism",37,115,0.321739
2019-03-01,Geopolitics & strategic competition,10,115,0.086957
2019-03-01,"Society, culture & everyday life",14,115,0.121739
2019-03-01,"Knowledge, facts & educational content",26,115,0.226087
2019-03-01,Climate change & environmental risk,2,115,0.017391
2019-04-01,"Entertainment, memes & low-context content",19,96,0.197917
2019-04-01,"Nature, landscape & tourism",23,96,0.239583
2019-04-01,Geopolitics & strategic competition,25,96,0.260417
2019-04-01,"Society, culture & everyday life",7,96,0.072917
2019-04-01,"Knowledge, facts & educational content",20,96,0.208333
2019-04-01,Climate change & environmental risk,2,96,0.020833
2019-05-01,"Entertainment, memes & low-context content",22,97,0.226804
2019-05-01,"Nature, landscape & tourism",35,97,0.360825
2019-05-01,Geopolitics & strategic competition,24,97,0.247423
2019-05-01,"Society, culture & everyday life",7,97,0.072165
2019-05-01,"Knowledge, facts & educational content",8,97,0.082474
2019-05-01,Climate change & environmental risk,1,97,0.010309
2019-06-01,"Entertainment, memes & low-context content",49,175,0.280000
2019-06-01,"Nature, landscape & tourism",36,175,0.205714
2019-06-01,Geopolitics & strategic competition,46,175,0.262857
2019-06-01,"Society, culture & everyday life",26,175,0.148571
2019-06-01,"Knowledge, facts & educational content",14,175,0.080000
2019-06-01,Climate change & environmental risk,4,175,0.022857
2019-07-01,"Entertainment, memes & low-context content",21,129,0.162791
2019-07-01,"Nature, landscape & tourism",48,129,0.372093
