period,frame,count,total_videos_in_period,prevalence
2019-01/02,Nature/Tourism,132,242,0.545455
2019-01/02,Geopolitics,5,242,0.020661
2019-01/02,Knowledge/Facts,36,242,0.148760
2019-01/02,Indigenous Life,40,242,0.165289
2019-01/02,Climate Change,29,242,0.119835
2019-03/04,Nature/Tourism,88,201,0.437811
2019-03/04,Geopolitics,24,201,0.119403
2019-03/04,Knowledge/Facts,14,201,0.069652
2019-03/04,Indigenous Life,41,201,0.203980
2019-03/04,Climate Change,34,201,0.169154
2019-05/06,Nature/Tourism,104,286,0.363636
2019-05/06,Geopolitics,24,286,0.083916
2019-05/06,Knowledge/Facts,50,286,0.174825
2019-05/06,Indigenous Life,66,286,0.230769
2019-05/06,Climate Change,42,286,0.146853
2019-07/08,Nature/Tourism,143,568,0.251761
2019-07/08,Geopolitics,245,568,0.431338
2019-07/08,Knowledge/Facts,26,568,0.045775
2019-07/08,Indigenous Life,67,568,0.117958
2019-07/08,Climate Change,87,568,0.153169
2019-09/10,Nature/Tourism,141,304,0.463816
2019-09/10,Geopolitics,26,304,0.085526
2019-09/10,Knowledge/Facts,39,304,0.128289
2019-09/10,Indigenous Life,66,304,0.217105
2019-09/10,Climate Change,32,304,0.105263
2019-11/12,Nature/Tourism,121,262,0.461832
2019-11/12,Geopolitics,18,262,0.068702
2019-11/12,Knowledge/Facts,45,262,0.171756
2019-11/12,Indigenous Life,50,262,0.190840
2019-11/12,Climate Change,28,262,0.106870
2020-01/02,Nature/Tourism,127,263,0.482890
2020-01/02,Geopolitics,27,263,0.102662
2020-01/02,Knowledge/Facts,36,263,0.136882
2020-01/02,Indigenous Life,54,263,0.205323
2020-01/02,Climate Change,19,263,0.072243
2020-03/04,Nature/Tourism,142,345,0.411594
2020-03/04,Geopolitics,36,345,0.104348
2020-03/04,Knowledge/Facts,69,345,0.200000
2020-03/04,Indigenous Life,68,345,0.197101
2020-03/04,Climate Change,30,345,0.086957
2020-05/06,Nature/Tourism,125,254,0.492126
2020-05/06,Geopolitics,10,254,0.039370
2020-05/06,Knowledge/Facts,67,254,0.263780
2020-05/06,Indigenous Life,38,254,0.149606
2020-05/06,Climate Change,14,254,0.055118
2020-07/08,Nature/Tourism,113,290,0.389655
2020-07/08,Geopolitics,24,290,0.082759
2020-07/08,Knowledge/Facts,65,290,0.224138
2020-07/08,Indigenous Life,41,290,0.141379
2020-07/08,Climate Change,47,290,0.162069
2020-09/10,Nature/Tourism,107,264,0.405303
2020-09/10,Geopolitics,11,264,0.041667
2020-09/10,Knowledge/Facts,66,264,0.250000
2020-09/10,Indigenous Life,52,264,0.196970
2020-09/10,Climate Change,28,264,0.106061
2020-11/12,Nature/Tourism,115,255,0.450980
2020-11/12,Geopolitics,17,255,0.066667
2020-11/12,Knowledge/Facts,52,255,0.203922
2020-11/12,Indigenous Life,56,255,0.219608
2020-11/12,Climate Change,15,255,0.058824
2021-01/02,Nature/Tourism,131,288,0.454861
2021-01/02,Geopolitics,19,288,0.065972
2021-01/02,Knowledge/Facts,46,288,0.159722
2021-01/02,Indigenous Life,78,288,0.270833
2021-01/02,Climate Change,14,288,0.048611
2021-03/04,Nature/Tourism,123,352,0.349432
2021-03/04,Geopolitics,43,352,0.122159
2021-03/04,Knowledge/Facts,75,352,0.213068
2021-03/04,Indigenous Life,73,352,0.207386
2021-03/04,Climate Change,38,352,0.107955
2021-05/06,Nature/Tourism,150,318,0.471698
2021-05/06,Geopolitics,17,318,0.053459
2021-05/06,Knowledge/Facts,76,318,0.238994
2021-05/06,Indigenous Life,56,318,0.176101
2021-05/06,Climate Change,19,318,0.059748
2021-07/08,Nature/Tourism,144,398,0.361809
2021-07/08,Geopolitics,16,398,0.040201
2021-07/08,Knowledge/Facts,97,398,0.243719
2021-07/08,Indigenous Life,76,398,0.190955
2021-07/08,Climate Change,65,398,0.163317
2021-09/10,Nature/Tourism,150,368,0.407609
2021-09/10,Geopolitics,24,368,0.065217
2021-09/10,Knowledge/Facts,94,368,0.255435
2021-09/10,Indigenous Life,72,368,0.195652
2021-09/10,Climate Change,28,368,0.076087
2021-11/12,Nature/Tourism,158,378,0.417989
2021-11/12,Geopolitics,16,378,0.042328
2021-11/12,Knowledge/Facts,92,378,0.243386
2021-11/12,Indigenous Life,84,378,0.222222
2021-11/12,Climate Change,28,378,0.074074
2022-01/02,Nature/Tourism,156,375,0.416000
2022-01/02,Geopolitics,15,375,0.040000
2022-01/02,Knowledge/Facts,112,375,0.298667
2022-01/02,Indigenous Life,63,375,0.168000
2022-01/02,Climate Change,29,375,0.077333
