period,frame,count,total_videos_in_period,prevalence
2019-01,Nature/Tourism,67,132,0.507576
2019-01,Geopolitics,3,132,0.022727
2019-01,Knowledge/Facts,13,132,0.098485
2019-01,Indigenous Life,27,132,0.204545
2019-01,Climate Change,22,132,0.166667
2019-02,Nature/Tourism,65,110,0.590909
2019-02,Geopolitics,2,110,0.018182
2019-02,Knowledge/Facts,23,110,0.209091
2019-02,Indigenous Life,13,110,0.118182
2019-02,Climate Change,7,110,0.063636
2019-03,Nature/Tourism,43,113,0.380531
2019-03,Geopolitics,16,113,0.141593
2019-03,Knowledge/Facts,8,113,0.070796
2019-03,Indigenous Life,20,113,0.176991
2019-03,Climate Change,26,113,0.230088
2019-04,Nature/Tourism,45,88,0.511364
2019-04,Geopolitics,8,88,0.090909
2019-04,Knowledge/Facts,6,88,0.068182
2019-04,Indigenous Life,21,88,0.238636
2019-04,Climate Change,8,88,0.090909
2019-05,Nature/Tourism,46,89,0.516854
2019-05,Geopolitics,4,89,0.044944
2019-05,Knowledge/Facts,12,89,0.134831
2019-05,Indigenous Life,22,89,0.247191
2019-05,Climate Change,5,89,0.056180
2019-06,Nature/Tourism,58,197,0.294416
2019-06,Geopolitics,20,197,0.101523
2019-06,Knowledge/Facts,38,197,0.192893
2019-06,Indigenous Life,44,197,0.223350
2019-06,Climate Change,37,197,0.187817
2019-07,Nature/Tourism,56,127,0.440945
2019-07,Geopolitics,1,127,0.007874
2019-07,Knowledge/Facts,13,127,0.102362
2019-07,Indigenous Life,44,127,0.346457
2019-07,Climate Change,13,127,0.102362
2019-08,Nature/Tourism,87,441,0.197279
2019-08,Geopolitics,244,441,0.553288
2019-08,Knowledge/Facts,13,441,0.029478
2019-08,Indigenous Life,23,441,0.052154
2019-08,Climate Change,74,441,0.167800
2019-09,Nature/Tourism,72,148,0.486486
2019-09,Geopolitics,14,148,0.094595
2019-09,Knowledge/Facts,16,148,0.108108
2019-09,Indigenous Life,22,148,0.148649
2019-09,Climate Change,24,148,0.162162
2019-10,Nature/Tourism,69,156,0.442308
2019-10,Geopolitics,12,156,0.076923
2019-10,Knowledge/Facts,23,156,0.147436
2019-10,Indigenous Life,44,156,0.282051
2019-10,Climate Change,8,156,0.051282
2019-11,Nature/Tourism,62,120,0.516667
2019-11,Geopolitics,9,120,0.075000
2019-11,Knowledge/Facts,22,120,0.183333
2019-11,Indigenous Life,22,120,0.183333
2019-11,Climate Change,5,120,0.041667
2019-12,Nature/Tourism,59,142,0.415493
2019-12,Geopolitics,9,142,0.063380
2019-12,Knowledge/Facts,23,142,0.161972
2019-12,Indigenous Life,28,142,0.197183
2019-12,Climate Change,23,142,0.161972
2020-01,Nature/Tourism,71,139,0.510791
2020-01,Geopolitics,9,139,0.064748
2020-01,Knowledge/Facts,20,139,0.143885
2020-01,Indigenous Life,27,139,0.194245
2020-01,Climate Change,12,139,0.086331
2020-02,Nature/Tourism,56,124,0.451613
2020-02,Geopolitics,18,124,0.145161
