"outcome","term","frame","label","estimate","std_error","t_value","p_value","is_reference","ci_low","ci_high","percent_estimate","percent_ci_low","percent_ci_high","interpretation"
"log_views","(Intercept)","Nature/Tourism","Nature/Tourism",5.48799026726647,0.0322466935302572,170.187689541474,0,TRUE,5.42478674794717,5.55119378658578,NA,NA,NA,""
"log_views","frameGeopolitics","Geopolitics","Geopolitics",1.27866282717211,0.045637057354825,28.0180822621974,3.05256419672504e-170,FALSE,1.18921419475665,1.36811145958757,259.183361067579,228.449921633896,292.792564011038,"+259.2% compared with the reference frame"
"log_views","frameKnowledge/Facts","Knowledge/Facts","Knowledge/Facts",0.554148872544928,0.0464284500268787,11.9355453870227,9.38247327870448e-33,FALSE,0.463149110492246,0.645148634597611,74.0459001744506,58.9070271801754,90.6270345941877,"+74.0% compared with the reference frame"
"log_views","frameIndigenous Life","Indigenous Life","Indigenous Life",0.618558326820248,0.0589499674973141,10.4929375380645,1.04607786139758e-25,FALSE,0.503016390525512,0.734100263114984,85.6250006035365,65.3701966004892,108.360645130666,"+85.6% compared with the reference frame"
"log_views","frameClimate Change","Climate Change","Climate Change",0.424368438600174,0.0914787235205418,4.63898513521432,3.51804876685493e-06,FALSE,0.245070140499912,0.603666736700436,52.8624694386279,27.7710929345317,82.8812294409064,"+52.9% compared with the reference frame"
"log_comments","(Intercept)","Nature/Tourism","Nature/Tourism",0.762170665516445,0.0206937613254811,36.8309392153833,1.7710516733082e-289,TRUE,0.721610893318502,0.802730437714388,NA,NA,NA,""
"log_comments","frameGeopolitics","Geopolitics","Geopolitics",1.03250861432629,0.029299062498517,35.2403294261908,9.30804942456163e-266,FALSE,0.975082451829197,1.08993477682338,180.810144971352,165.138581358063,197.408008728616,"+180.8% compared with the reference frame"
"log_comments","frameKnowledge/Facts","Knowledge/Facts","Knowledge/Facts",0.217857388424292,0.0298297035861786,7.30337087644526,2.88756408939663e-13,FALSE,0.159391169395382,0.276323607453202,24.3409730353292,17.2796619109963,31.8274398429422,"+24.3% compared with the reference frame"
"log_comments","frameIndigenous Life","Indigenous Life","Indigenous Life",0.339529163753454,0.0378969595152579,8.95927188081552,3.48325757455878e-19,FALSE,0.265251123103549,0.41380720440336,40.4286246018169,30.3758338512721,51.2565482806736,"+40.4% compared with the reference frame"
"log_comments","frameClimate Change","Climate Change","Climate Change",0.525285172886866,0.0593697995123861,8.84768311837196,9.49396826459319e-19,FALSE,0.408920365842589,0.641649979931142,69.0940990152625,50.5191851027973,89.9612617637803,"+69.1% compared with the reference frame"
"log_likes","(Intercept)","Nature/Tourism","Nature/Tourism",2.22826088706329,0.0269420099733802,82.705814794995,0,TRUE,2.17545454751547,2.28106722661112,NA,NA,NA,""
"log_likes","frameGeopolitics","Geopolitics","Geopolitics",1.02267475095893,0.0381808654533125,26.785007066156,7.51135451104324e-156,FALSE,0.947840254670435,1.09750924724742,178.062229829256,158.013121113762,199.669270011764,"+178.1% compared with the reference frame"
"log_likes","frameKnowledge/Facts","Knowledge/Facts","Knowledge/Facts",0.446541960070766,0.0392398465499716,11.379809029123,6.24254874076836e-30,FALSE,0.369631860832822,0.523452059308711,56.2898265501975,44.7201744939114,68.7844142567592,"+56.3% compared with the reference frame"
"log_likes","frameIndigenous Life","Indigenous Life","Indigenous Life",0.427745889659255,0.0494163582069062,8.65595736270738,5.17617600980035e-18,FALSE,0.330889827573719,0.524601951744791,53.3796277948365,39.2206401101515,68.9786098086414,"+53.4% compared with the reference frame"
"log_likes","frameClimate Change","Climate Change","Climate Change",0.30188298701421,0.0763183557545846,3.95557509106943,7.65604961610597e-05,FALSE,0.152299009735224,0.451466964293196,35.2402968741181,16.4508383723287,57.0614531783884,"+35.2% compared with the reference frame"
