Outcome	Predictor	Coefficient	Std. error	Percent effect	95% CI	Observations	Adjusted R-squared
Views	Geopolitics	1.279***	0.046	+259.2%	[228.4, 292.8]	26378	0.029
Views	Knowledge/Facts	0.554***	0.046	+74.0%	[58.9, 90.6]	26378	0.029
Views	Indigenous Life	0.619***	0.059	+85.6%	[65.4, 108.4]	26378	0.029
Views	Climate Change	0.424***	0.091	+52.9%	[27.8, 82.9]	26378	0.029
Views	Constant	5.488***	0.032			26378	0.029
Likes	Geopolitics	1.023***	0.038	+178.1%	[158.0, 199.7]	25098	0.028
Likes	Knowledge/Facts	0.447***	0.039	+56.3%	[44.7, 68.8]	25098	0.028
Likes	Indigenous Life	0.428***	0.049	+53.4%	[39.2, 69.0]	25098	0.028
Likes	Climate Change	0.302***	0.076	+35.2%	[16.5, 57.1]	25098	0.028
Likes	Constant	2.228***	0.027			25098	0.028
Comments	Geopolitics	1.033***	0.029	+180.8%	[165.1, 197.4]	25865	0.051
Comments	Knowledge/Facts	0.218***	0.030	+24.3%	[17.3, 31.8]	25865	0.051
Comments	Indigenous Life	0.340***	0.038	+40.4%	[30.4, 51.3]	25865	0.051
Comments	Climate Change	0.525***	0.059	+69.1%	[50.5, 90.0]	25865	0.051
Comments	Constant	0.762***	0.021			25865	0.051
