topic,subframe,video_count
0,American Expansionism,267
5,Great Power Rivalry,192
11,American Expansionism,164
15,Great Power Rivalry,160
16,American Expansionism,160
18,Diplomatic Resistance,156
19,Great Power Rivalry,155
25,Resource Extraction and Investment,146
27,American Expansionism,144
29,Diplomatic Resistance,143
41,Diplomatic Resistance,129
43,American Expansionism,124
44,Great Power Rivalry,124
47,American Expansionism,123
51,Great Power Rivalry,119
53,American Expansionism,115
55,American Expansionism,113
57,American Expansionism,113
61,Defense Infrastructure,110
69,American Expansionism,104
70,Diplomatic Resistance,105
76,Diplomatic Resistance,102
89,Great Power Rivalry,96
91,Diplomatic Resistance,94
94,American Expansionism,93
100,Defense Infrastructure,90
101,American Expansionism,90
103,Great Power Rivalry,89
107,American Expansionism,88
113,Defense Infrastructure,86
115,American Expansionism,86
116,American Expansionism,86
124,Diplomatic Resistance,83
130,American Expansionism,81
133,American Expansionism,80
137,American Expansionism,79
143,American Expansionism,78
145,American Expansionism,78
146,Resource Extraction and Investment,77
150,Defense Infrastructure,75
153,American Expansionism,73
156,Defense Infrastructure,72
168,Diplomatic Resistance,69
172,American Expansionism,68
183,Resource Extraction and Investment,65
189,American Expansionism,64
196,Defense Infrastructure,63
200,American Expansionism,62
201,Resource Extraction and Investment,62
206,American Expansionism,61
207,Defense Infrastructure,61
208,American Expansionism,60
216,Great Power Rivalry,59
217,Great Power Rivalry,59
222,Diplomatic Resistance,58
224,American Expansionism,58
225,Diplomatic Resistance,58
232,American Expansionism,56
234,Great Power Rivalry,55
245,American Expansionism,53
249,Great Power Rivalry,52
252,Diplomatic Resistance,51
253,American Expansionism,51
254,Great Power Rivalry,51
264,Great Power Rivalry,49
266,Great Power Rivalry,48
273,American Expansionism,48
275,Defense Infrastructure,47
279,Diplomatic Resistance,47
280,Diplomatic Resistance,46
282,Resource Extraction and Investment,46
283,American Expansionism,46
289,Diplomatic Resistance,43
293,American Expansionism,44
297,American Expansionism,44
303,Great Power Rivalry,43
313,Great Power Rivalry,41
318,Diplomatic Resistance,41
322,Great Power Rivalry,39
332,American Expansionism,38
335,American Expansionism,38
337,American Expansionism,37
349,American Expansionism,36
350,Diplomatic Resistance,36
358,American Expansionism,34
360,American Expansionism,34
361,Resource Extraction and Investment,34
369,Great Power Rivalry,31
372,American Expansionism,31
375,Great Power Rivalry,31
381,American Expansionism,29
392,American Expansionism,27
401,Great Power Rivalry,26
404,Resource Extraction and Investment,26
406,Defense Infrastructure,26
410,Great Power Rivalry,25
420,American Expansionism,24
421,American Expansionism,23
428,American Expansionism,22
441,American Expansionism,21
447,Defense Infrastructure,19
449,,19
455,American Expansionism,18
461,American Expansionism,17
462,Resource Extraction and Investment,17
467,Diplomatic Resistance,16
472,American Expansionism,15
477,Great Power Rivalry,14
488,American Expansionism,12
490,Great Power Rivalry,11
491,Diplomatic Resistance,11
492,Defense Infrastructure,11
