period,subframe,count,total_videos_in_period,prevalence
2019-01/02,American Expansionism,1,5,0.200000
2019-01/02,Great Power Rivalry,0,5,0.000000
2019-01/02,Diplomatic Resistance,2,5,0.400000
2019-01/02,Defense Infrastructure,1,5,0.200000
2019-01/02,Resource Extraction and Investment,1,5,0.200000
2019-03/04,American Expansionism,1,24,0.041667
2019-03/04,Great Power Rivalry,3,24,0.125000
2019-03/04,Diplomatic Resistance,0,24,0.000000
2019-03/04,Defense Infrastructure,2,24,0.083333
2019-03/04,Resource Extraction and Investment,18,24,0.750000
2019-05/06,American Expansionism,3,24,0.125000
2019-05/06,Great Power Rivalry,2,24,0.083333
2019-05/06,Diplomatic Resistance,11,24,0.458333
2019-05/06,Defense Infrastructure,2,24,0.083333
2019-05/06,Resource Extraction and Investment,6,24,0.250000
2019-07/08,American Expansionism,136,243,0.559671
2019-07/08,Great Power Rivalry,5,243,0.020576
2019-07/08,Diplomatic Resistance,89,243,0.366255
2019-07/08,Defense Infrastructure,7,243,0.028807
2019-07/08,Resource Extraction and Investment,6,243,0.024691
2019-09/10,American Expansionism,10,26,0.384615
2019-09/10,Great Power Rivalry,5,26,0.192308
2019-09/10,Diplomatic Resistance,4,26,0.153846
2019-09/10,Defense Infrastructure,2,26,0.076923
2019-09/10,Resource Extraction and Investment,5,26,0.192308
2019-11/12,American Expansionism,5,18,0.277778
2019-11/12,Great Power Rivalry,0,18,0.000000
2019-11/12,Diplomatic Resistance,1,18,0.055556
2019-11/12,Defense Infrastructure,4,18,0.222222
2019-11/12,Resource Extraction and Investment,8,18,0.444444
2020-01/02,American Expansionism,9,27,0.333333
2020-01/02,Great Power Rivalry,3,27,0.111111
2020-01/02,Diplomatic Resistance,2,27,0.074074
2020-01/02,Defense Infrastructure,2,27,0.074074
2020-01/02,Resource Extraction and Investment,11,27,0.407407
2020-03/04,American Expansionism,6,36,0.166667
2020-03/04,Great Power Rivalry,4,36,0.111111
2020-03/04,Diplomatic Resistance,7,36,0.194444
2020-03/04,Defense Infrastructure,2,36,0.055556
2020-03/04,Resource Extraction and Investment,17,36,0.472222
2020-05/06,American Expansionism,1,10,0.100000
2020-05/06,Great Power Rivalry,3,10,0.300000
2020-05/06,Diplomatic Resistance,3,10,0.300000
2020-05/06,Defense Infrastructure,2,10,0.200000
2020-05/06,Resource Extraction and Investment,1,10,0.100000
2020-07/08,American Expansionism,14,24,0.583333
2020-07/08,Great Power Rivalry,2,24,0.083333
2020-07/08,Diplomatic Resistance,0,24,0.000000
2020-07/08,Defense Infrastructure,3,24,0.125000
2020-07/08,Resource Extraction and Investment,5,24,0.208333
2020-09/10,American Expansionism,2,11,0.181818
2020-09/10,Great Power Rivalry,0,11,0.000000
2020-09/10,Diplomatic Resistance,1,11,0.090909
2020-09/10,Defense Infrastructure,2,11,0.181818
2020-09/10,Resource Extraction and Investment,6,11,0.545455
2020-11/12,American Expansionism,4,17,0.235294
2020-11/12,Great Power Rivalry,1,17,0.058824
2020-11/12,Diplomatic Resistance,2,17,0.117647
2020-11/12,Defense Infrastructure,5,17,0.294118
2020-11/12,Resource Extraction and Investment,5,17,0.294118
2021-01/02,American Expansionism,5,19,0.263158
2021-01/02,Great Power Rivalry,10,19,0.526316
2021-01/02,Diplomatic Resistance,2,19,0.105263
2021-01/02,Defense Infrastructure,0,19,0.000000
2021-01/02,Resource Extraction and Investment,2,19,0.105263
2021-03/04,American Expansionism,5,43,0.116279
2021-03/04,Great Power Rivalry,8,43,0.186047
2021-03/04,Diplomatic Resistance,9,43,0.209302
2021-03/04,Defense Infrastructure,5,43,0.116279
2021-03/04,Resource Extraction and Investment,16,43,0.372093
2021-05/06,American Expansionism,7,17,0.411765
2021-05/06,Great Power Rivalry,5,17,0.294118
2021-05/06,Diplomatic Resistance,3,17,0.176471
2021-05/06,Defense Infrastructure,0,17,0.000000
2021-05/06,Resource Extraction and Investment,2,17,0.117647
2021-07/08,American Expansionism,5,16,0.312500
2021-07/08,Great Power Rivalry,5,16,0.312500
2021-07/08,Diplomatic Resistance,2,16,0.125000
2021-07/08,Defense Infrastructure,2,16,0.125000
2021-07/08,Resource Extraction and Investment,2,16,0.125000
2021-09/10,American Expansionism,3,24,0.125000
2021-09/10,Great Power Rivalry,6,24,0.250000
2021-09/10,Diplomatic Resistance,3,24,0.125000
2021-09/10,Defense Infrastructure,3,24,0.125000
2021-09/10,Resource Extraction and Investment,9,24,0.375000
2021-11/12,American Expansionism,3,16,0.187500
2021-11/12,Great Power Rivalry,8,16,0.500000
2021-11/12,Diplomatic Resistance,1,16,0.062500
2021-11/12,Defense Infrastructure,1,16,0.062500
2021-11/12,Resource Extraction and Investment,3,16,0.187500
2022-01/02,American Expansionism,2,15,0.133333
2022-01/02,Great Power Rivalry,2,15,0.133333
2022-01/02,Diplomatic Resistance,2,15,0.133333
