rank,channel_title,channel_id,channel_subscriber_count,geopolitical_video_count
1,The Tonight Show Starring Jimmy Fallon,UC8-Th83bH_thdKZDJCrn88g,33700000,3
2,Jimmy Kimmel Live,UCa6vGFO9ty8v5KZJXQxdhaw,22000000,3
3,FactTechz,UCGdPm5Aq081vVD7ih9jZf6Q,21200000,1
4,Geo News,UC_vt34wimdCzdkrzVejwX9g,20700000,4
5,StudyIQ IAS,UCrC8mOqJQpoB7NuIMKIS6rQ,20300000,6
6,BBC News,UC16niRr50-MSBwiO3YDb3RA,19700000,23
7,CNN,UCupvZG-5ko_eiXAupbDfxWw,19500000,31
8,ABC News,UCBi2mrWuNuyYy4gbM6fU18Q,19500000,13
9,ABS-CBN News,UCE2606prvXQc_noEqKxVJXA,19000000,3
10,Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg,17800000,18
11,ARY News,UCMmpLL2ucRHAXbNHiCPyIyg,16100000,3
12,NDTV,UCZFMm1mMw0F81Z37aaEzTUA,15700000,10
13,Tribunnews,UCmxAIW7RDDC88EPk4ry16Kg,15500000,3
14,The Infographics Show,UCfdNM3NAhaBOXCafH7krzrA,15400000,3
15,Professor Of How,UCepBxbSrGZkgjgGJuY04c-Q,15300000,1
16,Fox News,UCXIJgqnII2ZOINSWNOGFThA,15200000,28
17,TV9 Telugu Live,UCPXTXMecYqnRKNdqdVOGSFg,14300000,1
18,SAMAA TV,UCJekW1Vj5fCVEGdye_mBN6Q,14200000,2
19,Nas Daily,UCJsUvAqDzczYv2UpFmu4PcA,14000000,1
20,Inside Edition,UC9k-yiEpRHMNVOnOi_aQK8w,13800000,3
