rank,video_title,view_count,channel_title,channel_id,video_id,published_at
1,"'Mister Trump, F--k off': Danish politician says Greenland not for sale",12214209,SBS News,UCuuTCooIMbBFHNbPcSS70uw,cUhQTEMByaM,2025-01-23T04:08:21Z
2,Why Trump Wants Greenland? (3D) by Professor Of How,12184814,Professor Of How,UCepBxbSrGZkgjgGJuY04c-Q,s4d7pDV8j54,2026-01-15T06:07:25Z
3,"Trump tries to invade Greenland, But NATO didn't allow that 😆😆 || ##trump #funny #nato #putin",11931065,AI POLITICS,UCVGHxtNrfbZR56E36-NgREw,kDO6boiXcC4,2026-01-23T04:44:28Z
4,"Trump’s got 99 reasons he needs to take over Greenland, and not one of them makes sense #DailyShow",11815986,The Daily Show,UCwWhs_6x42TyRM4Wstoq8HA,2wbV4LsOZwQ,2026-01-13T22:30:03Z
5,Uncle Trump 😁🇺🇸🇬🇱 #norway #snow #funny #winter #ytshorts #trump #greenland,9674532,Zia ( The Explorer) 🇳🇴,UCOVgJCLuRN9B5Qb5hFqee5Q,W7XthKFT3gg,2026-01-20T13:10:26Z
6,Shane Gillis Jokes On Why Donald Trump Wants Greenland,9555921,NatureFables,UCN2Ac54gcqMmHPcePi5qHaA,EKrz8RELT7I,2026-03-13T23:00:17Z
7,The Reason German Troops Left Greenland 🇩🇪🏳️😂,9233365,Make AI Great Again,UCB8Sa3clvm76x7VwPV8B6gA,gsOAAyaZmFQ,2026-01-21T20:02:27Z
8,"Trump wants to take over Gaza, Greenland, Canada & Panama Canal",8766112,Washington Post Universe,UCYBARVyitZWkFKovnC2jf2g,DyMApR2uYfQ,2025-02-05T18:53:32Z
9,#funny #trump in #greenland #shorts #corneliacrisan,8512807,CORNELIA CRIŚAN,UCB_mT-9AzcacrW4IrpfZryA,_InMrF032iY,2026-01-14T00:05:15Z
10,"I went to Greenland, here's why the US wants it",7775737,Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,7D0FhJFUzeA,2026-01-07T20:40:10Z
11,Trump’s Greenland Plan Was Based on a 1000 Year Old Prank!! 😂 #standupcomedy #standup #shanegillis,7321118,Comedy For No Reason,UC2r4yo33sgDzIMmJS23ch3Q,QhEnoB8v0xE,2025-07-01T02:00:31Z
12,Miscalculations are costly. #historyshorts #history #trump #greenland #nato,6580388,Trevor's History Reels,UCTcI-IQvhORR3XIitQcHvqQ,nUNIDBZhahk,2026-01-13T21:20:47Z
13,When a Dane asked if they should sell Greenland #jimmycarr #crowdwork #hecklers #standup #greenland,6567154,Jimmy Carr,UCf9BO33b-MnIxB5y0azrxmg,OvKM9GVsc-w,2026-01-09T21:00:34Z
14,Trump Comes for Greenland… Europe Is Ready to Defend ❄️😂,6498221,Hatims Shorts,UCpaAinUuCAEA0IELy2v6QMQ,x0xp2eMchxA,2026-01-11T11:54:03Z
15,Shane Gillis - The Best Presidential Impressions (Greenland & Iceland,6321438,The LaughOcalypse,UCiFfQf7caElqP1gUB6V5nNg,HY394u-vMmE,2026-01-07T16:00:33Z
16,US Troops Arriving in Greenland 🇬🇱,6088387,Chris Barnes,UC-v__WT0uZV5GoaElmnMcEA,k8erQl_vd-c,2026-01-21T22:07:08Z
17,Before The Greenland Threat Got Serious,5932662,Worse Every Day,UCbqEuRrh4BXFPJL-d4dYZPA,mTziq0EgRlk,2026-01-12T20:07:00Z
18,"Trump Berates World Leaders, Declares Victory on Greenland & We Receive Another Threat from the FCC!",5663078,Jimmy Kimmel Live,UCa6vGFO9ty8v5KZJXQxdhaw,84aa__f8yF8,2026-01-22T04:45:00Z
19,Trump’s First Day in Greenland 🇬🇱😂 | Funny Parody Video#trump #shorts #funny,5527300,yt assets 49,UCgOtGqLcn8TfjKW6DboI6Yw,FKlSgVqEAc8,2026-01-22T12:24:04Z
20,Why Everyone Suddenly Wants Greenland,5458622,Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,sxRdKRORYoA,2023-06-14T12:00:44Z
