channel_title,video_count,channel_ids,channel_countries,is_news,review_status,suggested_news,notes
Q's Greenland,223,UC9TyctkYTsRUmCX138l6Dug; UC_afD_gs9QgEHaAmevEHbyw,GL,,needs_review,,
Chef Mario Castillo,120,UC8abJE6d2xdKCZWE-l0iKWQ,DK,,needs_review,,
LEVIS D PRANKS,99,UCYKigTnB8OjOTxGDuyIN2Ug,PH,,needs_review,,
Gp Dupitas,73,UCfC0OyfsKdeBrxbBgdGxrJQ,DK,,needs_review,,
wikipedia tts,71,UCAPfXm-c3VR47NQiHh7MM-Q; UCGajAfZZjyDnyA7YQU0xpOg; UCGoNozP_2TZV5hVciGW1y6Q; UCSXyUYsSKnOACkkI2mF1F1g; UCV5cie6grszX4UTDJzpFOyA; UCYsYRb62nVuCJ8-FojrZRVw; UCa7A71byaczz6dAQM4FZngg; UCe9qlV5GQtAsYCTdRwgeHjA; UCmmkBTh8HaiycBZjOc8cVgw; UCmp1SkLvf1pYMPK7PE2mYXA; UCqKZqRCjBaE6TBfi_JQc8ag; UCq_18cPisSCz-cV00IhZ07w; UCsPs4JQVxo2-IjKMs4NkZPg; UCuKfABj2eGyjH3ntPxp4YeQ; UCzarwQFaTMe7t6SoGgLHBwA,,,needs_review,,
Arctic Circle,62,UCwUHwwHVfBozVzg7soO470g,IS,,needs_review,,
mariodaexplorer,54,UCNlV1fvVIu5bkDNdfGTshHg,,,needs_review,,
Alex Amasa Olsen,50,UCinwCifxLkMWD8f5HiitW8g,DK,,needs_review,,
DRM News,40,UCrvG04V6wbOau6fVJI01OlQ,US,,needs_review,yes,
Jason Box,39,UCmBT2z6hnEygLfaM5Of7BRA,DK,,needs_review,,
DW News,37,UCknLrEdhRCp1aegoMqRaCZg,DE,,needs_review,yes,
Al Arabiya English,33,UCIZJ9a6P_nxCFJTmL0gh_IQ,SA,,needs_review,,
Mineral Resources Authority,32,UCJnnRgp-RenbkbU_hV0QPYw,GL,,needs_review,,
APT,27,UCpLEtz3H0jSfEneSdf1YKnw,US,,needs_review,,
Dive in Greenland,27,UCZkhTvHKUmkUnDFveeP5ocA,GL,,needs_review,,
Dj Puelma,27,UCkIIHr4g2JOPNIzWr7rusDg,MX,,needs_review,,
MS NOW,27,UCaXkIU1QidjPwiAYu6GcHjg,,,needs_review,,
The Land of Ice Official,25,UCZKWH_nIl7BP3eQA6YYUG_g,PH,,needs_review,,
Visit Greenland,25,UCvdViQeqs8NwBZajYjxgpQg,GL,,needs_review,,
DrakeParagon,23,UCpfax0gLoUZMqw-ROxX77Yw,US,,needs_review,,
Greenland Quilter (Katy),23,UC2QzIF-C2uTmKWGEEy6DFTg,US,,needs_review,,
Rowdy Tavern Bard,21,UCVMvC7_E03UVcjX6Zo8QK2Q,GB,,needs_review,,
Update360,21,UCkh4qw8V5xR4IJ35oWPaDWw,,,needs_review,,
DWS News,20,UCrrXvYmau-9oMA6XJKZS2fQ,US,,needs_review,yes,
Iva  life loop,20,UCHYffupqdnlblXn-dko3Xag,GL,,needs_review,,
Traveliology,20,UClJ0kbWWjkmE62lKv6_slRA,GB,,needs_review,,
Ann-Britt,18,UCW1O124nzQTiXe5gYsPNRgA,US,,needs_review,,
Hook Global,18,UCyri-PL3l4Dn9IooWXQAqfA,US,,needs_review,,
Learning Adventure,18,UCKOkSenKOqWigo54V_bWc0Q,US,,needs_review,,
News Clips Daily - All News. Just Clips.,18,UCrw9uMknPtl6cgrA4QoYCRg,US,,needs_review,yes,
Wikipedia Fan,18,UCMeSYAu27EY1aslaUSaL6VA; UClqS6IYGeofUnMEBJmSzf2g; UCqsTEykZZCMfAA5wK3mEjyQ; UCrpY3RRy905oE3SERqJTmBw,,,needs_review,,
World Map Comparison,18,UC8znAlI-0fWLjiR6zAZ-Wzw,BD,,needs_review,yes,
Aurélien CAYE - Exploration,17,UCxhmTACOw79loBXGUsuaufA,,,needs_review,,
CrystalflowSpirit,17,UCZG_qtedTlYZf_ulP1Ekn5Q,FR,,needs_review,,
ISLEY REUST,17,UC3MTi9XBD1TdDhkWXkHbGkA,IS,,needs_review,,
American Facts & Truths,16,UCgFbTgt0ecsFVX45n-IccvA,,,needs_review,,
