scope,year,category,rank,term,count,document_count
overall,ALL,word,1,trump,334,737
overall,ALL,word,2,us,122,737
overall,ALL,word,3,denmark,92,737
overall,ALL,word,4,trump's,71,737
overall,ALL,word,5,says,67,737
overall,ALL,word,6,nato,60,737
overall,ALL,word,7,ice,56,737
overall,ALL,word,8,deal,48,737
overall,ALL,word,9,after,43,737
overall,ALL,word,10,danish,43,737
overall,ALL,word,11,arctic,42,737
overall,ALL,word,12,amid,39,737
overall,ALL,word,13,canada,39,737
overall,ALL,word,14,france,33,737
overall,ALL,word,15,pm,32,737
overall,ALL,word,16,donald,32,737
overall,ALL,word,17,threats,30,737
overall,ALL,word,18,will,29,737
overall,ALL,word,19,military,27,737
overall,ALL,word,20,europe,27,737
overall,ALL,word,21,melting,26,737
overall,ALL,word,22,new,26,737
overall,ALL,word,23,world,25,737
overall,ALL,word,24,wants,24,737
overall,ALL,word,25,n18g,24,737
overall,ALL,word,26,climate,23,737
overall,ALL,word,27,troops,23,737
overall,ALL,word,28,envoy,21,737
overall,ALL,word,29,tariffs,21,737
overall,ALL,word,30,sale,20,737
overall,ALL,word,31,visit,20,737
overall,ALL,word,32,consulate,19,737
overall,ALL,word,33,vance,19,737
overall,ALL,word,34,push,18,737
overall,ALL,word,35,take,18,737
overall,ALL,word,36,takeover,18,737
overall,ALL,word,37,framework,18,737
overall,ALL,word,38,wion,17,737
overall,ALL,word,39,davos,17,737
overall,ALL,word,40,sheet,16,737
overall,ALL,word,41,european,16,737
overall,ALL,word,42,change,15,737
overall,ALL,word,43,threat,15,737
overall,ALL,word,44,control,15,737
overall,ALL,word,45,acquire,15,737
overall,ALL,word,46,eu,15,737
overall,ALL,word,47,threatens,14,737
overall,ALL,word,48,watch,14,737
overall,ALL,word,49,vantage,14,737
overall,ALL,word,50,palki,14,737
overall,ALL,pair,1,trump + us,61,737
overall,ALL,pair,2,denmark + trump,47,737
overall,ALL,pair,3,says + trump,40,737
overall,ALL,pair,4,nato + trump,37,737
overall,ALL,pair,5,deal + trump,36,737
overall,ALL,pair,6,after + trump,33,737
overall,ALL,pair,7,denmark + us,27,737
overall,ALL,pair,8,donald + trump,23,737
overall,ALL,pair,9,trump + wants,22,737
overall,ALL,pair,10,danish + trump,22,737
overall,ALL,pair,11,amid + trump,22,737
overall,ALL,pair,12,ice + melting,19,737
overall,ALL,pair,13,military + trump,18,737
overall,ALL,pair,14,tariffs + trump,18,737
overall,ALL,pair,15,danish + pm,17,737
overall,ALL,pair,16,pm + trump,17,737
overall,ALL,pair,17,ice + sheet,16,737
overall,ALL,pair,18,europe + trump,16,737
overall,ALL,pair,19,threats + trump,16,737
overall,ALL,pair,20,framework + trump,16,737
overall,ALL,pair,21,change + climate,15,737
overall,ALL,pair,22,sale + trump,15,737
overall,ALL,pair,23,says + us,15,737
overall,ALL,pair,24,n18g + trump,15,737
overall,ALL,pair,25,arctic + trump,15,737
overall,ALL,pair,26,deal + framework,15,737
overall,ALL,pair,27,palki + sharma,14,737
overall,ALL,pair,28,palki + vantage,14,737
overall,ALL,pair,29,sharma + vantage,14,737
overall,ALL,pair,30,canada + trump,14,737
yearly,2016,word,1,melting,3,8
yearly,2016,word,2,ice,3,8
yearly,2016,word,3,brexit,2,8
yearly,2016,word,4,sheet,2,8
yearly,2016,word,5,begins,2,8
yearly,2016,pair,1,ice + melting,3,8
yearly,2016,pair,2,again + begins,2,8
yearly,2016,pair,3,again + ice,2,8
yearly,2016,pair,4,again + melting,2,8
yearly,2016,pair,5,again + sheet,2,8
yearly,2017,word,1,ice,5,14
yearly,2017,word,2,judge,3,14
yearly,2017,word,3,chris,3,14
yearly,2017,word,4,great,2,14
yearly,2017,word,5,weather,2,14
yearly,2017,pair,1,chris + judge,3,14
yearly,2017,pair,2,ice + melt,2,14
yearly,2017,pair,3,ice + weather,2,14
yearly,2017,pair,4,crack + glacier,1,14
yearly,2017,pair,5,crack + nasa,1,14
yearly,2018,word,1,iceberg,8,21
yearly,2018,word,2,ice,4,21
yearly,2018,word,3,innaarsuit,4,21
yearly,2018,word,4,village,4,21
yearly,2018,word,5,climate,3,21
yearly,2018,pair,1,iceberg + innaarsuit,4,21
yearly,2018,pair,2,iceberg + village,4,21
yearly,2018,pair,3,huge + iceberg,3,21
yearly,2018,pair,4,change + climate,2,21
yearly,2018,pair,5,collapse + danger,2,21
yearly,2019,word,1,trump,32,83
yearly,2019,word,2,ice,14,83
yearly,2019,word,3,sale,13,83
yearly,2019,word,4,melting,10,83
yearly,2019,word,5,denmark,10,83
yearly,2019,pair,1,sale + trump,11,83
yearly,2019,pair,2,denmark + trump,9,83
yearly,2019,pair,3,ice + melting,6,83
yearly,2019,pair,4,buy + trump,6,83
yearly,2019,pair,5,danish + trump,6,83
yearly,2020,word,1,ice,12,16
yearly,2020,word,2,watch,4,16
yearly,2020,word,3,melting,3,16
yearly,2020,word,4,weather,3,16
yearly,2020,word,5,age,3,16
yearly,2020,pair,1,ice + melting,3,16
yearly,2020,pair,2,age + ice,3,16
yearly,2020,pair,3,age + watch,3,16
yearly,2020,pair,4,age + weather,3,16
yearly,2020,pair,5,ice + watch,3,16
yearly,2021,word,1,climate,7,20
yearly,2021,word,2,ice,4,20
yearly,2021,word,3,melting,3,20
yearly,2021,word,4,earth,3,20
yearly,2021,word,5,covid,2,20
yearly,2021,pair,1,19 + covid,2,20
yearly,2021,pair,2,change + climate,2,20
yearly,2021,pair,3,climate + crisis,2,20
yearly,2021,pair,4,glaciers + melting,2,20
yearly,2021,pair,5,can + curse,1,20
yearly,2022,word,1,ice,8,16
yearly,2022,word,2,climate,4,16
yearly,2022,word,3,sheet,4,16
yearly,2022,word,4,sea,4,16
yearly,2022,word,5,change,3,16
yearly,2022,pair,1,ice + sheet,4,16
yearly,2022,pair,2,change + climate,3,16
yearly,2022,pair,3,ice + sea,3,16
yearly,2022,pair,4,raise + sea,3,16
yearly,2022,pair,5,climate + ice,2,16
yearly,2023,word,1,ice,3,6
yearly,2023,word,2,too,1,6
yearly,2023,word,3,late,1,6
yearly,2023,word,4,save,1,6
yearly,2023,word,5,shrinking,1,6
yearly,2023,pair,1,ice + late,1,6
yearly,2023,pair,2,ice + save,1,6
yearly,2023,pair,3,ice + service,1,6
yearly,2023,pair,4,ice + sheet,1,6
yearly,2023,pair,5,ice + shrinking,1,6
yearly,2024,word,1,canada,3,13
yearly,2024,word,2,panama,3,13
yearly,2024,word,3,women,2,13
yearly,2024,word,4,afp,2,13
yearly,2024,word,5,anti,2,13
yearly,2024,pair,1,canada + panama,3,13
yearly,2024,pair,2,activist + anti,2,13
yearly,2024,pair,3,activist + watson,2,13
yearly,2024,pair,4,activist + whaling,2,13
yearly,2024,pair,5,anti + watson,2,13
yearly,2025,word,1,trump,80,152
yearly,2025,word,2,us,31,152
yearly,2025,word,3,denmark,24,152
yearly,2025,word,4,envoy,19,152
yearly,2025,word,5,trump's,17,152
yearly,2025,pair,1,trump + us,16,152
yearly,2025,pair,2,denmark + trump,14,152
yearly,2025,pair,3,envoy + trump,13,152
yearly,2025,pair,4,denmark + us,12,152
yearly,2025,pair,5,n18g + trump,10,152
yearly,2026,word,1,trump,219,388
yearly,2026,word,2,us,81,388
yearly,2026,word,3,denmark,55,388
yearly,2026,word,4,nato,53,388
yearly,2026,word,5,says,48,388
yearly,2026,pair,1,trump + us,42,388
yearly,2026,pair,2,nato + trump,33,388
yearly,2026,pair,3,deal + trump,33,388
yearly,2026,pair,4,says + trump,28,388
yearly,2026,pair,5,after + trump,25,388
