"channel_title","channel_id","video_count_in_final","channel_country","ai_news_status","confidence","reason"
"DW News","UCknLrEdhRCp1aegoMqRaCZg","37","DE","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Al Arabiya English","UCIZJ9a6P_nxCFJTmL0gh_IQ","33","SA","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"CBC News: The National","UCKjU3KzdbJE1EFcHVqXC3_g","11","CA","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Daily Mail World","UCw3fku0sH3qA3c3pZeJwdAw","11","","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"NDTV","UCZFMm1mMw0F81Z37aaEzTUA","11","IN","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Bloomberg Television","UCIALMKvObZNtJ6AmdCLP7Lg","10","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"India Today Global","UCq6L7JFb3gqCNDD2tjWAhBw","10","IN","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Sharjah24 News","UC9j7m_ojWQuVlpwq2FxuRuA","10","AE","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"TRT World","UC7fWeaHhqgM4Ry-RMpM2YYw","10","TR","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"NewsX World","UCvu9pKtF3Y8KaJVD-WMiOrg","9","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"NewsX Live","UCytSP0M0Jdnw6qIy3Y-nTig","8","IN","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Rebel News","UCGy6uV7yqGWDeUWTZzT3ZEg","8","CA","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"NDTV World","UCXBD5iG5cr4ZYZ99K-fmDHg","7","IN","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Times News","UCF-VP3b3oH0XASqsLI5rnLw","7","GB","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"TomoNews US","UCt-WqkTyKK1_70U4bb4k4lQ","7","","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"TVP WORLD","UCBjUPsHj7bXt24SUWNoZ0zA","7","PL","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"Arirang News","UCzznO4xSV8BKnUBPyswtCUw","6","KR","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
"The Daily Guardian","UCG7JI87raV6HrgJheRi0MVg","6","US","likely_official_news_channel","medium_high","AI-added from recognizable official news organization/channel name in final dataset; recommended for quick human verification."
