channel_title,video_count,channel_ids,channel_countries,selection_method
Firstpost,39,UCz8QaiQxApLq8sLNcszYyJw,IN,curated_name_match
Reuters,39,UChqUTb7kYRX8-EiaN3XFrSQ,US,curated_name_match
Bloomberg News,37,UChirEOpgFCupRAk5etXqPaA,US,curated_name_match
FRANCE 24 English,37,UCQfwfsi5VrQ8yKZ-UWmAEFg,US,curated_name_match
WION,34,UC_gUM8rL-Lrg6O3adPW9K1g,IN,curated_name_match
CNN,33,UCupvZG-5ko_eiXAupbDfxWw,US,curated_name_match
Times Of India,33,UCckHqySbfy5FcPP6MD_S-Yg,IN,curated_name_match
NBC News,30,UCeY0bbntWzzVIaj2z3QigXg,,curated_name_match
BBC News,28,UC16niRr50-MSBwiO3YDb3RA,GB,curated_name_match
Fox News,28,UCXIJgqnII2ZOINSWNOGFThA,US,curated_name_match
Al Jazeera English,27,UCNye-wNBqNL5ZzHSJj3l8Bg,QA,curated_name_match
Sky News Australia,23,UCO0akufu9MOzyz3nvGIXAAw,AU,curated_name_match
euronews,22,UCSrZ3UV4jOidv8ppoVuvW9Q,GB,curated_name_match
CBC News,21,UCuFFtHWoLl5fauMMD5Ww2jA,CA,curated_name_match
CRUX,21,UC3prwMn9aU2z5Y158ZdGyyA,US,curated_name_match
CBS News,20,UC8p1vwvWtl6T73JiExfWs1g,US,curated_name_match
CTV News,20,UCi7Zk9baY1tvdlgxIML8MXg,CA,curated_name_match
CGTN Europe,19,UCj0TppyxzQWm9JbMg3CP8Rg,GB,curated_name_match
New York Post,18,UCrvhNP_lWuPIP6QZzJmM-bw,US,curated_name_match
ANI News,17,UCtFQDgA8J8_iiwc5-KoAQlg,IN,curated_name_match
Associated Press,17,UC52X5wxOL_s5yw0dQk7NtgA,US,curated_name_match
Channel 4 News,17,UCTrQ7HXWRRxr7OsOtodr2_w,GB,curated_name_match
ABC News,16,UCBi2mrWuNuyYy4gbM6fU18Q,US,curated_name_match
India Today,16,UCYPvAwZP8pZhSMW8qs7cVCw,IN,curated_name_match
Sky News,16,UCoMdktPbSTixAyNGwb-UYkQ,GB,curated_name_match
Global News,15,UChLtXXpo4Ge1ReTEboVvTDg,CA,curated_name_match
AFP News Agency,13,UC86dbj-lbDks_hZ5gRKL49Q,,curated_name_match
AP Archive,13,UCHTK-2W11Vh1V4uwofOfR4w,,curated_name_match
Times Now World,13,UCw8Fc5R0Q5yyS3KrDCPM3xg,US,curated_name_match
Forbes Breaking News,12,UCg40OxZ1GYh3u3jBntB6DLg,US,curated_name_match
Guardian News,12,UCIRYBXDze5krPDzAEOxFGVA,GB,curated_name_match
Kalaallit Nunaata Radioa | KNR TV,12,UCIjOAtv53RHerlfl98fZmcQ,GL,curated_name_match
LiveNOW from FOX,12,UCJg9wBPyKMNA5sRDnvzmkdg,US,curated_name_match
NewsNation,12,UCCjG8NtOig0USdrT5D1FpxQ,US,curated_name_match
CGTN,10,UCgrNz-aDmcr2uuto8_DL2jg,CN,curated_name_match
Times Now,10,UC6RJ7-PaXg6TIH2BzZfTV7w,IN,curated_name_match
ABC News (Australia),9,UCVgO39Bk5sMo66-6o6Spn6Q,AU,curated_name_match
CBS Evening News,9,UCAeWdyKJXGWmVAXFpgLNNTg,,curated_name_match
CNN-News18,9,UCef1-8eOpJgud7szVPlZQAQ,IN,curated_name_match
Fox Business,9,UCCXoCcu9Rp7NPbTzIvogpZg,US,curated_name_match
Hindustan Times,9,UCm7lHFkt2yB_WzL67aruVBQ,IN,curated_name_match
ITV News,9,UCFQgi22Ht00CpaOQLtvZx2A,GB,curated_name_match
Scripps News,9,UCTln5ss6h6L_xNfMeujfPbg,US,curated_name_match
7NEWS Australia,8,UC5T7D-Dh1eDGtsAFCuwv_Sw,US,curated_name_match
KNR Nutaarsiassat / KNR News,8,UC6D225YIMCwVBiBktEeV-vQ,GL,curated_name_match
