duplicate_type,duplicate_group_id,duplicate_group_size,duplicate_keeper_video_id,duplicate_pruned,video_id,video_title,video_description,published_at,duration,view_count,video_like_count,comment_count,channel_id,channel_title,channel_subscriber_count,channel_video_count,channel_country
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,VXtddJDNAxU,Greenland tractor,,2026-03-03T11:16:42Z,2452,1047,4,1,UC2g5dofPlnol7knNu81g9dA,World tv,50200,1165,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,_9TTfSLFsIw,greenland tractor,,2026-04-18T12:14:50Z,1052,1222,1,0,UC2g5dofPlnol7knNu81g9dA,World tv,51100,1647,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,A03gHGHy878,Greenland tractor,,2026-04-18T02:00:08Z,1176,884,1,0,UC2g5dofPlnol7knNu81g9dA,World tv,51100,1647,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,QvXmSWrR-kQ,greenland tractor,,2026-04-17T10:25:26Z,1176,278,2,0,UC2g5dofPlnol7knNu81g9dA,World tv,51100,1647,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,di7CzKzhD70,greenland tractor,#tractorstunt #tractorvideo #farming,2026-04-17T10:05:48Z,1176,526,1,0,UC2g5dofPlnol7knNu81g9dA,World tv,51100,1647,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,nHgH3-mgL_8,Greenland tractor,,2026-04-15T13:53:18Z,1176,526,0,0,UC2g5dofPlnol7knNu81g9dA,World tv,51100,1647,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,GYHSZXq6iZY,greenland tractor,,2026-04-15T10:26:09Z,517,184,1,0,UC2g5dofPlnol7knNu81g9dA,World tv,51100,1647,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,tmfQap1Idic,greenland tractor,,2026-04-12T02:47:09Z,1052,1782,3,0,UC2g5dofPlnol7knNu81g9dA,World tv,51100,1647,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,jd0wbmjdO-w,greenland tractor,,2026-04-12T01:00:42Z,517,260,0,0,UC2g5dofPlnol7knNu81g9dA,World tv,51100,1647,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,crIIZXYK-wE,greenland tractor,,2026-04-12T01:00:40Z,517,66,0,0,UC2g5dofPlnol7knNu81g9dA,World tv,51100,1647,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,ZPUBSOz1nOw,Greenland tractor,,2026-04-10T11:15:12Z,1052,642,1,0,UC2g5dofPlnol7knNu81g9dA,World tv,51100,1647,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,70DISfSe8Dg,greenland tractor,,2026-04-06T09:14:45Z,1052,434,0,0,UC2g5dofPlnol7knNu81g9dA,World tv,50500,1389,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,pApwRPBz-bk,greenland tractor,,2026-04-06T08:00:57Z,1052,500,1,0,UC2g5dofPlnol7knNu81g9dA,World tv,50500,1389,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,WanxeihGZsw,greenland tractor,,2026-04-06T07:20:47Z,1052,1232,1,0,UC2g5dofPlnol7knNu81g9dA,World tv,50500,1389,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,no,p_2LyrnPUIs,greenland tractor,,2026-04-05T12:39:18Z,1052,11090,13,1,UC2g5dofPlnol7knNu81g9dA,World tv,50500,1389,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,bT3qI4AVNds,Greenland tractor,,2026-04-04T12:01:30Z,1052,1837,2,0,UC2g5dofPlnol7knNu81g9dA,World tv,50500,1389,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,qNxlPz5fQhk,Greenland tractor,,2026-04-04T08:34:27Z,1528,257,0,0,UC2g5dofPlnol7knNu81g9dA,World tv,50500,1389,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,wGi3gNvu330,Greenland tractor,,2026-04-04T05:05:09Z,1052,121,1,0,UC2g5dofPlnol7knNu81g9dA,World tv,50500,1389,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,IqNhSun-qz0,greenland tractor,,2026-04-04T05:04:14Z,1052,30,0,0,UC2g5dofPlnol7knNu81g9dA,World tv,50500,1389,
near_duplicate_title_within_channel,near_duplicate_1,106,p_2LyrnPUIs,yes,Y-3UaFGDM7M,Greenland tractor,,2026-04-02T12:41:49Z,1052,1637,1,0,UC2g5dofPlnol7knNu81g9dA,World tv,50500,1389,
