video_id,video_title,video_description,published_at,duration,view_count,video_like_count,comment_count,channel_id,channel_title,channel_subscriber_count,channel_video_count,channel_country,greenland_only_reason
RfuIknxUZMY,Greenland,"Bestdiscovery

#Greenland
#Instagram
#Instagram_Official

Subscribe Channel Instagram Official
Like and Share",2019-01-02T18:20:07Z,28,3,,0,UC38oOtfdXS0J4F35KXmE1sw,Yumna bocil,1,,,title_only_greenland_generic_or_numbers
YVX7ChP-nQQ,Greenland,"Provided to YouTube by The Orchard Enterprises

Greenland · Halfdan E

Borgen (Ost)

℗ 2016 Sounds

Released on: 2013-12-03

Auto-generated by YouTube.",2019-01-13T11:52:25Z,78,3502,,0,UCD5svnkbAxoVTEub-KJOzWw,Halfdan E - Topic,391,,,title_only_greenland_generic_or_numbers
KnWxcVi0e2Y,Greenland,"Provided to YouTube by The Orchard Enterprises

Greenland · Jakob Bro

Balladeering

℗ 2016 Loveland Records

Released on: 2009-11-24

Auto-generated by YouTube.",2019-01-13T11:54:33Z,438,3155,,1,UCXgtvaD9SxJpAg_7G5xpN3Q,Jakob Bro - Topic,1640,,,title_only_greenland_generic_or_numbers
WrvkzOcKIR4,greenland,,2019-01-25T07:16:38Z,397,317,,0,UC4d_MVJEre14RUDF8yEFlWw,Greenland School,48,,,title_only_greenland_generic_or_numbers
Frveo5YYdRY,Greenland,"The view from an Icelandair 757 during my trip home from Reykjavik about a year and a half ago. It seems a bit ironic that I was simultaneously contributing to and witnessing the effects of global warming, but the view is spectacular.",2019-01-26T22:03:19Z,114,9,,0,UChrfPGJM8NLmZFf07djnoyw,Jeremy Forrest,1,,,title_only_greenland_generic_or_numbers
eEOh0YW2Zdk,GreenLand,Amazing. You can enjoy fully ur fun day.,2019-01-29T12:06:51Z,4,11,,0,UCgvHXNqv1NQCf8xXFMPLkAA,Anil Tek,3,,,title_only_greenland_generic_or_numbers
etxaKxtCHCw,Greenland,MukulkumarM9,2019-02-08T18:45:04Z,16,3,,0,UC1yXMqZ2prMjqMEW4z6wTQQ,Mukul Kumar,4,4,,title_only_greenland_generic_or_numbers
ouuD4J0OFlA,Greenland!!!!!!!!!,Created by VideoShow:http://videoshowapp.com/free,2019-02-11T00:09:52Z,62,256,,17,UCvh6mK9Lo987NyB5Hzy8MfA,KOOL Kingston,44,163,,title_only_greenland_generic_or_numbers
umt9DRhnoeQ,1 Greenland,,2019-02-16T21:46:15Z,170,0,,0,UCL4Ou-328Ev7opXtj02wzGQ,Lara Girdwood,1,5,,title_only_greenland_generic_or_numbers
3NHIF6iFMBw,2 Greenland,,2019-02-16T21:46:18Z,340,3,,0,UCL4Ou-328Ev7opXtj02wzGQ,Lara Girdwood,1,5,,title_only_greenland_generic_or_numbers
